№п\п,Отзыв,Ответ
1,"Довожу до Вашего сведения, что г. на горячую линию обратилась клиент ФИО, телефон) с жалобой на ПЗ Сочи.  Клиент (дата) обратилась в указанный ПЗ с вопросом сдачи биоматериала на ряд исследований , в том числе комплексных пакетов.  Клиент недовольна тем, что в ПЗ пациенты находились без масок и перчаток, сотрудник на регистратуре также работала без перчаток. Клиент также недовольна тем, что сотрудник разговаривала с клиентом нехотя, отказывалась консультировать клиента, объясняя отказ тем, что «зависает» компьютер, пока клиент не пригрозила оставить жалобу. В середине разговора сотрудник ушла в туалет. После посещения туалета сотрудник не обработала руки при пациенте.  Клиент просит разобраться и принять меры.   Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата)  (ФИО, телефон) с жалобой на ПЗ Сочи. По обращению пациента проведено служебное расследование, в ходе которого просмотрены записи с камер видеонаблюдения. Установлено, что в начале диалога медсестра отвечает на все вопросы клиента дружелюбно и вежливо. Проинформировала, что идет разделение пациентопотока, что в первую половину дня, возможно, сдать все анализы, интересующие клиента, кроме Коронавируса. Прием анализов на CоVid начинается с 12:00. После, у пациентки возник вопрос на иные комплексы. На камере видно, что медсестра перезагружает компьютер, начинает нервничать и сообщает, что по причине того, что компьютер «завис», не может более предоставить никакой информации и рекомендует обратиться на горячую линию по всем вопросам. Обратная связь по произошедшему инциденту сотруднику выдана. Пациенту принесены извинения от лица компании за сложившуюся ситуацию. Предложено было подобрать удобное время для записи на анализы. Относительно принятия лекарственных препаратов перед сдачей анализов по щитовидной железе, предложен перезвон врача-консультанта для предоставления полной информации. Пациент поблагодарила за обратную связь, относительно сдачи анализов в нашей лаборатории пока подумает. "
2,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Клиент обратился  в указанный ПЗ (дата) для сдачи биоматериала на ряд исследований. Клиент предъявил сотруднику ПЗ 2 подарочных сертификата арендодателям номиналом 1000р. каждый для оплаты заказа. Клиент недоволен тем, что сотрудник в общении с клиентом позволяла себе «хамство», отказалась принимать сертификаты в качестве оплаты.   Клиент просит разобраться и принять меры.   Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проведено служебное расследование, по итогам которого вина медсестры не подтверждена. При просмотре записей с камер видеонаблюдения видно, что клиент предоставляет распечатанный предварительный заказ с сайта со списком исследований, 2 сертификата номиналом 1000 рублей для арендодателей и купон на скидку 5% с сайта компании. По условиям действия, сертификат не может быть использован с иными акциями и скидками в компании. Срок действия сертификата начинается  позднее даты обращения.  Медсестра сообщает о том, что купон с сайта и сертификаты не могут быть использованы совместно в одном заказе и что позвонит, уточнит условия предоставления у менеджера. Клиент отказался ожидать, забрал сертификаты и ушел. Пациенту принесены извинения от лица компании за сложившуюся ситуацию.  Даны пояснения по условиям действия сертификатов"
3,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на правила предоставления услуги «Выезд на дом». Клиент оформила услугу «Выезд на дом медицинской сестры» на (дата) Клиент недовольна тем, что ожидать медсестру необходимо с 7:00 до 12:00.  Клиент не смогла дождаться медицинской сестры по причине приема лекарственных препаратов по беременности и отменила вызов.  Клиент просит разобраться и принять меры.   Ждет звонка администрации",
4,"     Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на ПЗ.  Клиент недовольна качеством обслуживания. Клиенту удобно обращаться в указанный ПЗ. Клиент недовольна тем, что сотрудник общается неприветливо, не отвечает на вопросы   клиента по   подготовке и правилах сбора и хранения биоматериала. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проведено служебное расследование, в ходе которого установлено время визита клиента и просмотрены камеры видеонаблюдения. На камерах нарушений не зафиксировано. Сотрудник информирует пациента по правилам подготовки  и сбора материала, также сообщает, что на контейнере указана инструкция. Регистратор ведет диалог согласно регламента обслуживания.Клиенту принесены извинения от лица компании за то, что во время посещения лаборатории были моменты, которые его огорчили. Пациент поблагодарила за обратную связь, в дальнейшем также планирует обращаться в лабораторию."
5,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Жена клиента ФИО  обратилась  в указанный ПЗ  (дата) по предварительной записи на УЗИ – обследование.  Клиент недоволен тем, что врач УЗИ в этот день не вел прием.  Клиент просит разобраться и принять меры. Ждет   звонка администрации.",
6,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на ПЗ.  Клиент обратилась  в указанный ПЗ (дата) во второй половине для сдачи биоматериала  своему ребенку.   Клиент недовольна тем, что в указанном ПЗ ведется прием на исследование «Коронавирус». Клиент также недовольна тем, что на сайте компании и в других источниках не размещена информация о режиме приема биоматериала на стандартные исследования и на исследование «Коронавирус». Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. Во время диалога с пациентом выяснилось, что клиент в принципе считает недопустимым прием материала на исследование «Коронавирус» в детской лаборатории «Baby Lab». Пациенту даны пояснения, что лаборатория CL обладает всеми необходимыми разрешениями Роспотребнадзора, а также лицензиями на право проведения исследований 3-4 группы патогенности. Соблюдаются все меры защиты и предосторожности при обслуживании пациентов. К сожалению, наличие таковых документов не убедило клиента в законности проведения анализа на «Коронавирус» в указанном филиале. "
7,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Клиент обратился в указанный ПЗ (дата) в 12:00 по предварительной записи для сдачи биоматериала на исследование «Коронавирус». Клиент недоволен тем, что сотрудник отказала клиенту в приеме биоматериала, объяснив отказ тем, что ПЗ закрыт под обслуживание корпоративных клиентов. Клиент просит разобраться и принять меры. Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проверена информация. Установлено, что  указанный филиал действительно был закрыт под обслуживание корпоративных клиентов на сдачу анализов на коронавирусную инфекцию.  
Пациент был записан на 12:00. Сотрудники ПЗ, к сожалению, физически не успели вовремя перезвонить клиенту для переноса записи. Пациенту принесены извинения от лица компании за доставленные неудобства. Предложено подобрать удобное время для сдачи материала. В настоящий момент, необходимость в анализе для клиента уже отсутствует. Планирует обращаться после 06.05.2020г. 
"
8,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (дата) с жалобой на ПЗ.  Клиент обратилась  в указанный ПЗ (дата) до 12:00 для сдачи биоматериала.   Клиент недовольна тем, что сотрудник отказала клиенту в приеме биоматериала, объяснив отказ тем, что начала обслуживание клиентов организации. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на ПЗ. По обращению пациента проверена информация. Выяснилось, что с 11:00 производился прием пациентов от организации на коронавирусную инфекцию. Медсестра на входной группе повесила соответствующее объявление. При обращении клиента, сотрудник, извинившись, проинформировала, что вынуждена отказать в приеме материала по данной причине. Предложила обратиться позднее, после окончания обслуживания организации либо в другой день. Пациенту принесены извинения от лица компании за доставленные неудобства. Клиент сдала материал на необходимое исследование на следующий день в другом филиале лаборатории. "
9,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на оператора контакт-центра.  Клиент (дата) обратилась на горячую линию с вопросом сдачи биоматериала на ряд исследований в г. Анапа. Оператор проинформировала клиента о том, что биоматериал на исследования она может сдать до 12:00.  Клиент (дата). в 11:50 обратился в ПЗ Анапа. Клиент недоволен тем, что в ПЗ уже велось оформление  пациента на исследование «Короновирус». Сотрудник ПЗ попросила клиента подождать на улице. Клиент повторно обратилась на горячую линию. Оператор предложила клиенту обратиться в другой ПЗ  до 14:00. Клиент недовольна тем, что в предложенном ПЗ клиенту также отказали. Клиент просит разобраться и принять меры.   Ждет звонка администрации.","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на оператора контакт-центра. По обращению пациента проведено служебное расследование. При первом звонке, оператор проконсультировала клиента верно, сообщив актуальное время приема биоматериала. Вины оператора нет. В первом ПЗ  на несколько минут ранее своего времени подошел пациент по предварительной записи на сдачу коронавирусной инфекции. Так как других пациентов не было, медсестра занялась оформлением клиента. При повторном звонке клиента на горячую линию, вина оператора Контактного Центра подтверждена. Сотрудник действительно предоставила неверную информацию по времени сдачи биоматериала. Обратная связь сотруднику выдана. Пациенту принесены извинения от лица компании за доставленные неудобства. Необходимые анализы клиент сдала в сторонней лаборатории."
10,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на выездную медсестру.  Клиент оформила услугу «Выезд медицинской сестры на дом» на (дата). Клиент для получения результата указала сотруднику адрес электронной почты. Клиент недовольна тем, что сотрудник не внесла в заказ электронную почту. По этой причине клиент не смогла получить результат. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ","Ответ на Вашу служебную записку от (дата) (ФИО, тел.) с жалобой на выездную медсестру. По обращению пациента проверена информация. В истории заказа отражено, что изначально при оформлении (05.05.2020г.), e-mail в товарный чек не внесен. Адрес электронной почты  был добавлен 09.05.2020г. выездной медицинской сестрой. Во время диалога с клиентом выяснилось, что результат исследования пациент забрала самостоятельно на ПЗ, по просьбе пациента результат также был направлен на электронный адрес. Клиенту принесены извинения от лица компании за доставленные неудобства. Претензий более к компании не имеет. "
